epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,35.6742,0.80195,0.66083,1.08081,0.83928,0.47762,0.52904,0.32829,1.76698,2.01618,1.47362,2.35472e-05,2.35472e-05,2.35472e-05
76,36.1218,0.67509,0.69018,1.04383,0.83928,0.47762,0.52904,0.32829,1.76698,2.01618,1.47362,2.29819e-05,2.29819e-05,2.29819e-05
77,36.588,0.73349,0.76612,1.10898,0.83928,0.47762,0.52904,0.32829,1.76698,2.01618,1.47362,2.23929e-05,2.23929e-05,2.23929e-05
78,37.0554,0.81873,1.02878,1.25285,0.84116,0.47438,0.52751,0.31175,1.7686,2.07589,1.4734,2.17805e-05,2.17805e-05,2.17805e-05
79,37.4972,0.71805,0.88211,1.15417,0.84116,0.47438,0.52751,0.31175,1.7686,2.07589,1.4734,2.11444e-05,2.11444e-05,2.11444e-05
80,37.9581,0.63769,0.64672,1.00296,0.84116,0.47438,0.52751,0.31175,1.7686,2.07589,1.4734,2.04848e-05,2.04848e-05,2.04848e-05
81,38.4315,0.79567,0.92393,1.27995,0.84327,0.47105,0.5257,0.31826,1.78507,2.08917,1.47978,1.98016e-05,1.98016e-05,1.98016e-05
82,38.8677,0.72589,0.6723,1.24574,0.84327,0.47105,0.5257,0.31826,1.78507,2.08917,1.47978,1.90949e-05,1.90949e-05,1.90949e-05
83,39.3169,0.86735,0.71864,1.36763,0.84327,0.47105,0.5257,0.31826,1.78507,2.08917,1.47978,1.83646e-05,1.83646e-05,1.83646e-05
84,39.781,0.71659,0.75781,1.10152,0.83793,0.47024,0.5241,0.31524,1.77347,2.12315,1.49212,1.76107e-05,1.76107e-05,1.76107e-05
85,40.2396,0.77079,0.92199,1.16253,0.83793,0.47024,0.5241,0.31524,1.77347,2.12315,1.49212,1.68333e-05,1.68333e-05,1.68333e-05
86,40.6724,0.65889,1.05073,1.08521,0.83793,0.47024,0.5241,0.31524,1.77347,2.12315,1.49212,1.60323e-05,1.60323e-05,1.60323e-05
